Locus_plate	Col	Row	F_R	Loc	Plate	Forward_P	Reverse_P
DAB-G	3	F	F22-R3	DAB	G	F22	R3
DAB-G	4	F	F22-R4	DAB	G	F22	R4
DAB-G	5	F	F22-R5	DAB	G	F22	R5
DAB-G	6	F	F22-R6	DAB	G	F22	R6
DAB-G	7	F	F22-R7	DAB	G	F22	R7
DAB-G	8	F	F22-R8	DAB	G	F22	R8
DAB-G	9	F	F22-R9	DAB	G	F22	R9
DAB-G	10	F	F22-R10	DAB	G	F22	R10
DAB-G	11	F	F22-R11	DAB	G	F22	R11
DAB-G	12	F	F22-R12	DAB	G	F22	R12
DAB-G	1	G	F23-R1	DAB	G	F23	R1
DAB-G	2	G	F23-R2	DAB	G	F23	R2
DAB-G	3	G	F23-R3	DAB	G	F23	R3
DAB-G	4	G	F23-R4	DAB	G	F23	R4
DAB-G	5	G	F23-R5	DAB	G	F23	R5
DAB-G	6	G	F23-R6	DAB	G	F23	R6
DAB-G	7	G	F23-R7	DAB	G	F23	R7
DAB-G	8	G	F23-R8	DAB	G	F23	R8
DAB-G	9	G	F23-R9	DAB	G	F23	R9
DAB-G	10	G	F23-R10	DAB	G	F23	R10
DAB-G	11	G	F23-R11	DAB	G	F23	R11
DAB-G	12	G	F23-R12	DAB	G	F23	R12
DAB-G	1	H	F24-R1	DAB	G	F24	R1
DAB-G	2	H	F24-R2	DAB	G	F24	R2
DAB-G	3	H	F24-R3	DAB	G	F24	R3
DAB-G	4	H	F24-R4	DAB	G	F24	R4
DAB-G	5	H	F24-R5	DAB	G	F24	R5
DAB-G	6	H	F24-R6	DAB	G	F24	R6
DAB-G	7	H	F24-R7	DAB	G	F24	R7
DAB-G	8	H	F24-R8	DAB	G	F24	R8
DAB-G	9	H	F24-R9	DAB	G	F24	R9
DAB-G	10	H	F24-R10	DAB	G	F24	R10
DAB-G	11	H	F24-R11	DAB	G	F24	R11
DAB-G	12	H	F24-R12	DAB	G	F24	R12
DAB-F	1	A	F9-R25	DAB	F	F9	R25
DAB-F	2	A	F9-R26	DAB	F	F9	R26
DAB-F	3	A	F9-R27	DAB	F	F9	R27
DAB-F	4	A	F9-R28	DAB	F	F9	R28
DAB-F	5	A	F9-R29	DAB	F	F9	R29
DAB-F	6	A	F9-R30	DAB	F	F9	R30
DAB-F	7	A	F9-R31	DAB	F	F9	R31
DAB-F	8	A	F9-R32	DAB	F	F9	R32
DAB-F	9	A	F9-R33	DAB	F	F9	R33
DAB-F	10	A	F9-R34	DAB	F	F9	R34
DAB-F	11	A	F9-R35	DAB	F	F9	R35
